Archivo,ROI,Media_basal,Std_basal,Umbral,N_eventos_pre_peak,Amplitud_promedio_eventos,Amplitud_maxima_eventos,Tipo,Observaciones
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI3,-1.504467653305781e-05,0.0088117302407151,0.0158460697567542,2.0,0.1401682494460079,0.2584728290801417,ROI con alta actividad basal,actividad basal alta o amplitud elevada; amplitud máxima elevada
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI4,4.825156037659208e-06,0.002467258057281,0.0044458896591435,1.0,0.3292211223579193,0.3292211223579193,ROI con alta actividad basal,actividad basal alta o amplitud elevada; amplitud máxima elevada
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI5,-1.470524861210175e-05,0.0038779430674134,0.0069655922727321,1.0,0.3716911560124495,0.3716911560124495,ROI con alta actividad basal,actividad basal alta o amplitud elevada; amplitud máxima elevada
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI6,-5.771199309379238e-05,0.0257213860677734,0.0462407829288984,2.0,0.0893267108082461,0.1187933193875859,ROI con alta actividad basal,actividad basal alta o amplitud elevada; amplitud máxima elevada
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI7,-9.712863759094488e-06,0.00730538537397,0.0131399808093869,5.0,0.0353267359548972,0.1053935007222718,ROI con alta actividad basal,actividad basal alta o amplitud elevada; amplitud máxima elevada
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI9,-9.097739635792122e-06,0.0041533655478388,0.0074669602464742,1.0,0.465103372064981,0.465103372064981,ROI con alta actividad basal,actividad basal alta o amplitud elevada; amplitud máxima elevada
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI1,0.003000213679666,0.0002320056340362,0.0034178238209314,0.0,0.0,0.0,ROI sin eventos,sin eventos pre-peak detectados
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI10,5.793141674611859e-06,0.0005987697074931,0.0010835786151622,2.0,0.0050912707614839,0.0089793324758592,ROI válida,señal razonable y eventos detectables
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI2,1.364067391481973e-05,0.0024593342279826,0.0044404422842835,1.0,0.0093412574827784,0.0093412574827784,ROI válida,señal razonable y eventos detectables
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI3,0.002575498964345,0.0001665072447832,0.0028752120049549,0.0,0.0,0.0,ROI sin eventos,sin eventos pre-peak detectados
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI4,0.0036984678833112,0.0002944064139731,0.0042283994284629,0.0,0.0,0.0,ROI sin eventos,sin eventos pre-peak detectados
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI5,1.390055133448601e-05,0.0003895554249476,0.0007151003162402,2.0,0.0083810862181888,0.0158559708062676,ROI válida,señal razonable y eventos detectables
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI6,0.0014990462227916,0.000190518670988,0.0018419798305701,0.0,0.0,0.0,ROI sin eventos,sin eventos pre-peak detectados
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI7,0.0010882711573926,0.0001334372557171,0.0013284582176835,0.0,0.0,0.0,ROI sin eventos,sin eventos pre-peak detectados
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI9,-9.59826920918281e-06,0.0013974875198739,0.0025058792665639,1.0,0.0455395294646005,0.0455395294646005,ROI con alta actividad basal,actividad basal alta o amplitud elevada; amplitud máxima elevada
