Archivo,ROI,UMAP1,UMAP2
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI26,5.519045,-2.3877954
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI27,9.005647,-2.643195
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI28,3.9334486,-3.3396735
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI29,-7.2563634,-20.755926
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI3,-7.2038803,-22.661982
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI30,7.304514,-2.1379163
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI31,9.273856,-2.573764
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI32,3.7109287,-3.3944685
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI33,-7.098218,-21.241476
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI34,5.9422317,-2.4379706
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI35,-6.7159376,-22.816399
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI36,3.8966656,-2.5869894
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI37,-6.7215858,-20.590902
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI38,7.669929,-2.4587293
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI39,12.398833,-1.573119
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI4,4.105995,-3.0975308
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI40,4.2981873,-3.6740282
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI41,-7.0179863,-20.900452
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI42,12.051081,-1.4003984
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI43,-6.824251,-22.723547
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI44,3.7005002,-2.7120357
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI45,-7.6019716,-21.045341
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI46,3.650684,-2.635431
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI47,8.994716,-3.1969922
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI48,3.504553,-3.1886785
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI5,-6.8792996,-20.384422
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI6,8.269894,-2.007469
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI7,-7.0491214,-22.703707
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI9,-7.1893125,-20.593872
Results_15DIV_double-sequential-ASX11_w1Channel-B,dF_F0_ROI1,-4.114005,-23.26612
Results_15DIV_double-sequential-ASX11_w1Channel-B,dF_F0_ROI2,-4.2506247,-22.758284
Results_15DIV_double-sequential-ASX11_w1Channel-B,dF_F0_ROI3,-3.8619642,-22.74193
Results_15DIV_double-sequential-ASX11_w1Channel-B,dF_F0_ROI4,-3.9109278,-22.913925
Results_15DIV_double-sequential-ASX11_w1Channel-B,dF_F0_ROI5,8.401167,-2.8522775
Results_15DIV_double-sequential-ASX11_w1Channel-B,dF_F0_ROI6,-4.462045,-22.953829
Results_15DIV_double-sequential-ASX11_w1Channel-B,dF_F0_ROI7,8.829639,-3.3237324
Results_15DIV_double-sequential-ASX21_w1Channel-B,dF_F0_Mean1,-5.971349,-22.105015
Results_15DIV_double-sequential-ASX21_w1Channel-B,dF_F0_Mean2,11.315435,-0.8605414
Results_15DIV_double-sequential-ASX21_w1Channel-B,dF_F0_Mean3,-3.9578838,-23.130072
Results_15DIV_double-sequential-ASX21_w1Channel-B,dF_F0_Mean4,-6.3483644,-22.411737
Results_15DIV_double-sequential-ASX21_w1Channel-B,dF_F0_Mean5,12.80093,-1.1089556
Results_15DIV_double-sequential-ASX21_w1Channel-B,dF_F0_Mean6,7.2734075,-2.6915011
Results_15DIV_double-sequential-ASX21_w1Channel-B,dF_F0_Mean7,8.17665,-2.5076094
Results_15DIV_double-sequential-ASX21_w1Channel-B,dF_F0_Mean8,5.5098166,-3.2364287
