variable,file_effect_r2,global_mean,global_var,corr_umap1,corr_umap2,n_points,n_files
Frame_peak,0.6937216117385849,144.5728155339806,14704.710717315487,0.6715042672926402,0.6592544753868903,103,7
N_eventos_pre_peak,0.557115813706362,1.6116504854368932,6.4317089263832585,0.5212097082073609,0.47338892900601126,103,7
UMAP1,0.3101508749836896,4.075549937864078,52.49045681169318,1.0,0.9537512919847676,103,7
UMAP2,0.2933226397974353,-7.796817931861165,86.04160578179066,0.9537512919847676,1.0,103,7
Amplitud_maxima_eventos,0.1266005801919596,0.27600205805508976,0.4000704302178611,0.04480077123199242,0.2335066388240484,103,7
