Frame,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11
19,-0.009329773139432276,5.322380685007918,0.17249270118741344,0.3929994776939843,0.011190220191469986,,0.37124503045124974,-0.1503036870207411,0.22267355657876778,,0.2715083744452256
20,0.18201302965955604,5.0682944295868175,0.15697105252522978,0.5594117367784758,,0.6027484431178831,0.30756369781127824,0.17001486464418553,0.38046167577636675,,
21,0.38004569783768255,5.804037375832267,0.17626723921796777,0.7854714992042972,0.624848489992132,0.6263414859250422,0.6086233828524319,0.19073137791583744,0.22835647585186145,,
22,0.12058082406695216,6.246374619959739,0.0403424753711967,0.6283717299896647,,0.532993601375881,0.7308850007733957,0.43504886409445204,0.3472754051342525,,0.2649805689954596
23,0.2612859596627297,5.348535232810831,0.11719774221098728,0.5504871236549688,,,0.34056550996199075,0.2535901717587681,0.47295022309484214,,
24,0.30868155498384353,5.448294309328746,0.23714218442043644,0.4809781249116754,0.6084659542517689,0.5918985123044849,0.33211794090204955,0.20225194442560118,0.1614287087258912,,
25,0.24907023997405878,4.570828345110004,0.16429534398859202,0.5511332770596145,,0.5434213589931098,0.19424257360679315,0.3629307336688749,0.2287030307394249,,
26,0.10590242370412112,3.268171863854558,0.03953878566020606,0.6047314160016002,,0.3615734556821759,0.13300749535389425,0.3592262670059866,0.11962208618833331,0.21453291122787338,
27,0.30907859573327773,3.3763388861412684,0.2616128202953646,0.5296374567529627,0.3914161652005993,0.2880004015427899,0.19365346722724677,0.3896205066475905,-0.17993713978297746,,0.06884391870034008
28,0.1766748998978935,4.67717799960448,0.22944359241934525,0.5132010850169313,,0.18006280383102544,0.6845232408566272,0.38042667929778046,0.024902564992752983,,
29,0.36413401676666557,3.0886480349286005,0.06572113351019875,0.43539964673286996,,,0.18729013577541273,0.24895625730680507,-0.10861614143427104,,0.21354174936051815
30,0.494649550083142,3.908589985670798,0.23732006137549308,0.6132751408565523,,,-0.07931925900677646,0.4729398710259323,0.3682814969130683,,
31,0.14013770703688114,4.136683037012023,0.3494717588274629,0.6864530054694327,0.8158331544346709,0.4771175982434851,0.11696217221470137,0.4175990326734093,0.029323753935836288,,
32,-0.07390159297204842,3.375931029491262,0.17561145504975956,0.5879035095893909,,-0.08461151529571395,-0.0007274507299176353,0.3481473657383321,0.10678190690532513,,0.117111796777045
33,-0.2730559369885732,3.593695320250096,-0.008343627250874933,0.2855777308089844,,0.10789556895177921,0.3055078233118748,0.2789782162098826,0.1977610431479144,,
34,-0.1416818630100542,3.6998896384078823,0.03936511199851587,0.25708513295858615,0.2396105668657951,0.2040044972766967,0.21131802701313726,0.22662863342461442,0.07128938840056775,0.4980199527622232,
35,-0.09923450781216801,3.9113787155608786,0.11882822172162898,0.5061775606046228,,0.44210833704564195,-0.0493011245093555,0.23970178317263427,0.10930238145447668,,0.22389781124561228
36,0.28355125222715455,3.3444025238752166,0.12537977534096104,0.4634963269484421,0.1260098754842395,0.07499706597626424,0.48391645739600925,0.36554965086750146,0.06156607543764922,,0.37825405744376794
37,0.4410425210287032,2.6851131882152255,0.2718116742037076,0.405104598797907,,,0.4758935929667865,0.9039067774611832,0.45617388474431125,0.9769679798114805,0.331277047190676
38,0.364413273186442,3.1040765020043506,0.18243688941512934,0.5394031838493315,0.7730446300569755,0.11444287253155053,0.30033187364931313,0.7037595023447669,0.18569096026150508,,
39,0.7231326896794109,4.139321411682416,0.14377693534780403,0.386468404577342,0.672247480135166,0.23516152681659375,0.23260099333858872,0.3391918259742991,0.05250796943200303,,0.3874936977001182
40,0.32154338691615175,5.002487925595489,0.18005485809263477,0.7136163378991005,,0.2459085000266079,0.3950907623738286,0.22451560844770413,0.11371650533398524,,0.32440311364263363
41,0.4698409641407191,4.184484111196824,-0.0022771094378106465,0.5235049851241049,,0.025539053678240883,0.3529922503168332,0.14677292530486966,0.08109533065189035,,
42,0.6267695726665201,3.115249384765987,0.13961501664479964,0.3179167771042384,,,0.24756315500512202,0.460570760964428,-0.08902927217042629,,0.23987925089072049
43,0.5231491460970967,2.4019182382147277,0.07490209337944524,0.2610116534993033,0.16300938089383632,0.04765068179434295,0.27304586290940414,0.21057178868742576,0.14982944976457072,0.6832116375360787,
44,0.5449133731190261,2.085430740607022,0.11094256859188636,0.7164792121591653,0.6580334310532896,,0.0752829899522719,0.16285986461751256,0.16714375307264115,,0.05408254008129324
45,0.3396366229555466,1.664952128720036,0.08181059596988852,0.4358244320848301,,0.4812709879418763,0.3678828777901808,0.37985739029631793,0.09640535085755642,,0.06575981937341431
46,0.14862829473073186,1.71958555538356,0.11245317276504944,0.38424429436218527,,0.3684152157570634,0.0721869256958139,0.42329218357884923,0.05172930805518329,,
47,0.36026021479834475,1.271279906159809,0.43083297823186373,0.27370969856683525,0.44610417774415634,0.37394665408993616,0.0649677098718815,0.3723947111157693,0.029025413212260615,,
48,0.3686575953157032,0.9452540760569248,0.06035511566450523,0.5883178159530471,,0.26749449087134575,0.12582780781765382,0.3922320478429516,0.24009296154956286,,
49,0.7813865365986761,0.7392078195469887,0.32128993847559467,0.5244143139550459,,,0.24062622844988063,0.2852052137164349,0.07080696585120044,0.42506073926799964,0.11392613432947402
50,0.35895607570264365,0.8422886202876835,-0.020354417889673584,0.5603826472529526,0.4135919746839426,0.2098252483233027,0.2588219527624447,0.6557034171330983,0.05998162260880293,,0.2998086316686002
