condition,mouse,FOV,day,sample_id,source_file,roi_index,roi_label,roi_x,roi_y,n_frames,mean_signal,std_signal,min_signal,max_signal,baseline_center,threshold,n_events,mean_event_duration,max_event_duration,mean_event_amplitude,max_event_amplitude,auc_above_baseline,peak_frame,peak_value,global_slope,Cluster,PCA1,PCA2,UMAP1,UMAP2
unresp,U235,Reg01_z252,d1,unresp_U235_Reg01_z252_d1,data_d1.mat,170,ROI170,482.0,287.0,2088,0.15328001618064555,0.1038638035995231,0.007235836551739047,0.7716633520454472,0.14283649624979844,0.31506633254041755,11,7.2727272727272725,11.0,0.3629686813290239,0.6288268557956488,43.66142941167438,10.0,0.7716633520454472,-6.393619888408642e-05,0,-0.15346351,0.06291364,6.8588467,2.9095206
sham,V528,Reg01_z260,d23,sham_V528_Reg01_z260_d23,data_d23.mat,446,ROI446,211.0,145.0,2088,0.22759089121612186,0.06696120269221248,0.10344746789163962,0.44441914730360565,0.24411246165598208,0.37209416460973616,4,4.25,5.0,0.18051646648894862,0.20030668564762358,12.284458521879372,453.0,0.44441914730360565,-9.303743575622008e-06,0,-0.15372354,0.59871703,3.1689405,7.849895
sham,U146,Reg03_z235,d11,sham_U146_Reg03_z235_d11,data_d11.mat,78,ROI78,938.0,487.0,2088,0.10089443009178167,0.07357226220518394,-0.03202468081823788,0.7032903294646469,0.08971082417717881,0.1753336223826043,22,8.590909090909092,17.0,0.2290912551245169,0.6135795052874681,58.24736445825639,605.0,0.7032903294646469,-5.556794576016156e-06,1,-0.17919406,-0.39545417,11.251808,-0.34829926
resp,V530,Reg01_z230,d15,resp_V530_Reg01_z230_d15,data_d15.mat,289,ROI289,220.0,777.0,2088,0.29089495012965416,0.062308108472919406,0.12307689080466698,0.37241188580372875,0.31875128967867017,0.44426152004801744,0,,,,,0.2809882957576511,17.0,0.37241188580372875,-0.004458696772708405,0,-0.1615924,0.35447818,11.392133,11.45675
sham,U411,Reg01_z135,d5,sham_U411_Reg01_z135_d5,data_d5.mat,177,ROI177,332.0,361.0,2088,0.12934427739219134,0.08270278313438115,-0.05269002216304464,0.5249474666584603,0.1639592139472113,0.4503508206361832,1,6.0,6.0,0.36098825271124896,0.36098825271124896,6.164893782619255,218.0,0.5249474666584603,-0.00018560426085332442,0,-0.23265028,0.41795224,-0.7687677,6.544818
unresp,V529,Reg03_z149,d3,unresp_V529_Reg03_z149_d3,data_d3.mat,116,ROI116,134.0,487.0,2088,0.13881462370052455,0.05434211592384841,0.006643173575244259,0.34856865831737965,0.12304646817674833,0.27546658608334895,2,5.0,7.0,0.20506449269601565,0.22552219014063132,23.23339944801246,62.0,0.34856865831737965,-3.1566734206009035e-05,0,-0.23331568,0.46087077,-0.34498373,7.132273
sham,V529,Reg03_z177,d3,sham_V529_Reg03_z177_d3,data_d3.mat,326,ROI326,188.0,731.0,2088,0.06631596310877136,0.016576816003104237,0.03925925660601922,0.09279427894380089,0.0627628805981025,0.09628948015914049,0,,,,,0.08877877926333323,2.0,0.09279427894380089,-0.0039586830465021365,0,-0.38856953,0.1608278,11.732839,12.473245
sham,U411,Reg01_z228,d11,sham_U411_Reg01_z228_d11,data_d11.mat,341,ROI341,841.0,562.0,2088,0.09716835204121685,0.03327018969156813,-0.019922712155255266,0.20066205837571105,0.10931940848542615,0.19236120414138233,0,,,,,11.318607885934904,821.0,0.20066205837571105,-1.8429787756000126e-05,0,-0.26483724,0.18972793,13.119933,14.761473
sham,U546,Reg01_z272,d15,sham_U546_Reg01_z272_d15,data_d15.mat,54,ROI54,225.0,577.0,2088,0.10088369193357656,0.15500480941988265,0.0032162709996967605,2.558235936120172,0.08710209460630843,0.195865127002243,3,15.0,33.0,0.9613281813754361,2.4711338415138635,54.73890583651812,12.0,2.558235936120172,-3.596973204851581e-05,0,-0.07578474,-0.76410955,5.10981,-1.4129641
sham,V529,Reg03_z204,d1,sham_V529_Reg03_z204_d1,data_d1.mat,218,ROI218,529.0,626.0,2088,0.15689482740406266,0.059222246117026034,-0.003610433199405597,0.5496597469525086,0.15627029694756195,0.3009137557089374,3,6.333333333333333,8.0,0.2824639827393001,0.3933894500049467,36.589526538129334,498.0,0.5496597469525086,8.670318368142013e-08,0,-0.18588912,0.3445095,0.8965578,5.3174834
